DZ,DZname,LAname
S01008417,Balerno and Bonnington Village - 01,City of Edinburgh
S01008418,Balerno and Bonnington Village - 02,City of Edinburgh
S01008419,Balerno and Bonnington Village - 03,City of Edinburgh
S01008420,Balerno and Bonnington Village - 04,City of Edinburgh
S01008421,Balerno and Bonnington Village - 05,City of Edinburgh
S01008422,Balerno and Bonnington Village - 06,City of Edinburgh
S01008423,Balerno and Bonnington Village - 07,City of Edinburgh
S01008424,Balerno and Bonnington Village - 08,City of Edinburgh
S01008425,Currie West - 01,City of Edinburgh
S01008426,Currie West - 02,City of Edinburgh
S01008427,Currie West - 03,City of Edinburgh
S01008428,Currie West - 04,City of Edinburgh
S01008429,Currie East - 01,City of Edinburgh
S01008430,Currie East - 02,City of Edinburgh
S01008431,Currie East - 03,City of Edinburgh
S01008432,Currie East - 04,City of Edinburgh
S01008433,Baberton and Juniper Green - 01,City of Edinburgh
S01008434,Baberton and Juniper Green - 02,City of Edinburgh
S01008435,Baberton and Juniper Green - 03,City of Edinburgh
S01008436,Baberton and Juniper Green - 04,City of Edinburgh
S01008437,Baberton and Juniper Green - 05,City of Edinburgh
S01008438,Bonaly and The Pentlands - 01,City of Edinburgh
S01008439,Bonaly and The Pentlands - 02,City of Edinburgh
S01008440,Bonaly and The Pentlands - 03,City of Edinburgh
S01008441,Bonaly and The Pentlands - 04,City of Edinburgh
S01008442,Bonaly and The Pentlands - 05,City of Edinburgh
S01008443,Bonaly and The Pentlands - 06,City of Edinburgh
S01008444,Colinton and Kingsknowe - 01,City of Edinburgh
S01008445,Colinton and Kingsknowe - 02,City of Edinburgh
S01008446,Colinton and Kingsknowe - 03,City of Edinburgh
S01008447,Colinton and Kingsknowe - 04,City of Edinburgh
S01008448,Colinton and Kingsknowe - 05,City of Edinburgh
S01008449,Clovenstone and Wester Hailes - 01,City of Edinburgh
S01008450,Clovenstone and Wester Hailes - 02,City of Edinburgh
S01008451,Clovenstone and Wester Hailes - 03,City of Edinburgh
S01008452,Clovenstone and Wester Hailes - 04,City of Edinburgh
S01008453,Clovenstone and Wester Hailes - 05,City of Edinburgh
S01008454,The Calders - 01,City of Edinburgh
S01008455,The Calders - 02,City of Edinburgh
S01008456,The Calders - 03,City of Edinburgh
S01008457,The Calders - 04,City of Edinburgh
S01008458,The Calders - 05,City of Edinburgh
S01008459,Murrayburn and Wester Hailes North - 01,City of Edinburgh
S01008460,Murrayburn and Wester Hailes North - 02,City of Edinburgh
S01008461,Murrayburn and Wester Hailes North - 03,City of Edinburgh
S01008462,Murrayburn and Wester Hailes North - 04,City of Edinburgh
S01008463,Murrayburn and Wester Hailes North - 05,City of Edinburgh
S01008464,Parkhead and Sighthill - 01,City of Edinburgh
S01008465,Parkhead and Sighthill - 02,City of Edinburgh
S01008466,Parkhead and Sighthill - 03,City of Edinburgh
S01008467,Parkhead and Sighthill - 04,City of Edinburgh
S01008468,Broomhouse and Bankhead - 01,City of Edinburgh
S01008469,Broomhouse and Bankhead - 02,City of Edinburgh
S01008470,Broomhouse and Bankhead - 03,City of Edinburgh
S01008471,Broomhouse and Bankhead - 04,City of Edinburgh
S01008472,Broomhouse and Bankhead - 05,City of Edinburgh
S01008473,Stenhouse and Saughton Mains - 01,City of Edinburgh
S01008474,Stenhouse and Saughton Mains - 02,City of Edinburgh
S01008475,Stenhouse and Saughton Mains - 03,City of Edinburgh
S01008476,Stenhouse and Saughton Mains - 04,City of Edinburgh
S01008477,Stenhouse and Saughton Mains - 05,City of Edinburgh
S01008478,Stenhouse and Saughton Mains - 06,City of Edinburgh
S01008479,Stenhouse and Saughton Mains - 07,City of Edinburgh
S01008480,Stenhouse and Saughton Mains - 08,City of Edinburgh
S01008481,Longstone and Saughton - 01,City of Edinburgh
S01008482,Longstone and Saughton - 02,City of Edinburgh
S01008483,Longstone and Saughton - 03,City of Edinburgh
S01008484,Longstone and Saughton - 04,City of Edinburgh
S01008485,Longstone and Saughton - 05,City of Edinburgh
S01008486,Slateford and Chesser - 01,City of Edinburgh
S01008487,Slateford and Chesser - 02,City of Edinburgh
S01008488,Slateford and Chesser - 03,City of Edinburgh
S01008489,Slateford and Chesser - 04,City of Edinburgh
S01008490,Slateford and Chesser - 05,City of Edinburgh
S01008491,Slateford and Chesser - 06,City of Edinburgh
S01008492,Gorgie West - 01,City of Edinburgh
S01008493,Gorgie West - 02,City of Edinburgh
S01008494,Gorgie West - 03,City of Edinburgh
S01008495,Gorgie West - 04,City of Edinburgh
S01008496,Gorgie West - 05,City of Edinburgh
S01008497,Gorgie East - 01,City of Edinburgh
S01008498,Gorgie East - 02,City of Edinburgh
S01008499,Gorgie East - 03,City of Edinburgh
S01008500,Gorgie East - 04,City of Edinburgh
S01008501,Gorgie East - 05,City of Edinburgh
S01008502,Shandon - 01,City of Edinburgh
S01008503,Shandon - 02,City of Edinburgh
S01008504,Shandon - 03,City of Edinburgh
S01008505,Shandon - 04,City of Edinburgh
S01008506,Shandon - 05,City of Edinburgh
S01008507,Shandon - 06,City of Edinburgh
S01008508,Craiglockhart - 01,City of Edinburgh
S01008509,Craiglockhart - 02,City of Edinburgh
S01008510,Craiglockhart - 03,City of Edinburgh
S01008511,Craiglockhart - 04,City of Edinburgh
S01008512,Craiglockhart - 05,City of Edinburgh
S01008513,Craiglockhart - 06,City of Edinburgh
S01008514,Morningside and Craighouse - 01,City of Edinburgh
S01008515,Morningside and Craighouse - 02,City of Edinburgh
S01008516,Morningside and Craighouse - 03,City of Edinburgh
S01008517,Morningside and Craighouse - 04,City of Edinburgh
S01008518,Morningside and Craighouse - 05,City of Edinburgh
S01008519,Greenbank and The Braids - 01,City of Edinburgh
S01008520,Greenbank and The Braids - 02,City of Edinburgh
S01008521,Greenbank and The Braids - 03,City of Edinburgh
S01008522,Greenbank and The Braids - 04,City of Edinburgh
S01008523,Greenbank and The Braids - 05,City of Edinburgh
S01008524,Colinton Mains and Firrhill - 01,City of Edinburgh
S01008525,Colinton Mains and Firrhill - 02,City of Edinburgh
S01008526,Colinton Mains and Firrhill - 03,City of Edinburgh
S01008527,Colinton Mains and Firrhill - 04,City of Edinburgh
S01008528,Colinton Mains and Firrhill - 05,City of Edinburgh
S01008529,Oxgangs - 01,City of Edinburgh
S01008530,Oxgangs - 02,City of Edinburgh
S01008531,Oxgangs - 03,City of Edinburgh
S01008532,Oxgangs - 04,City of Edinburgh
S01008533,Comiston and Swanston - 01,City of Edinburgh
S01008534,Comiston and Swanston - 02,City of Edinburgh
S01008535,Comiston and Swanston - 03,City of Edinburgh
S01008536,Comiston and Swanston - 04,City of Edinburgh
S01008537,Comiston and Swanston - 05,City of Edinburgh
S01008538,Comiston and Swanston - 06,City of Edinburgh
S01008539,Comiston and Swanston - 07,City of Edinburgh
S01008540,Comiston and Swanston - 08,City of Edinburgh
S01008541,Fairmilehead - 01,City of Edinburgh
S01008542,Fairmilehead - 02,City of Edinburgh
S01008543,Fairmilehead - 03,City of Edinburgh
S01008544,Fairmilehead - 04,City of Edinburgh
S01008545,Fairmilehead - 05,City of Edinburgh
S01008546,Fairmilehead - 06,City of Edinburgh
S01008547,Gilmerton South and the Murrays - 01,City of Edinburgh
S01008548,Gilmerton South and the Murrays - 02,City of Edinburgh
S01008549,Gilmerton South and the Murrays - 03,City of Edinburgh
S01008550,Mortonhall and Anwickhill - 01,City of Edinburgh
S01008551,Mortonhall and Anwickhill - 02,City of Edinburgh
S01008552,Mortonhall and Anwickhill - 03,City of Edinburgh
