id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15420,Georgian Boutique Apt City Centre,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95689,-3.18768,Entire home/apt,80,3,259,2019-02-11,2.63,1,253
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",46498,Gordon,,Meadows and Southside,55.94265,-3.18467,Entire home/apt,115,2,181,2019-02-10,1.77,1,53
38628,Edinburgh Holiday Let,165635,Trish,,Joppa,55.94308,-3.09525,Entire home/apt,46,4,45,2018-11-20,0.79,2,294
44552,Double room - spacious Leith flat,195950,Shaun,,South Leith,55.966,-3.17241,Private room,30,1,174,2019-01-01,1.68,1,71
47220,"Bright, Clean & Cosy 1 Bedroom Flat",188704,Rachael,,Meadowbank and Abbeyhill North,55.95866,-3.17091,Entire home/apt,70,2,95,2018-08-12,0.95,1,86
47616,"City flat, close to nature and the Fringe",216203,Ben,,"Canongate, Southside and Dumbiedykes",55.94732,-3.17851,Private room,100,2,28,2018-08-31,0.83,1,0
48645,Large Sunny Room on Royal Mile,221474,Mark,,"Old Town, Princes Street and Leith Street",55.95113,-3.1838,Private room,44,1,723,2019-02-09,7.38,2,281
51505,Superb City Centre Apartment,236828,Francois,,New Town West,55.95503,-3.19834,Entire home/apt,175,2,7,2019-01-27,0.07,6,0
54188,The Four Sisters Boatel,253850,Natalie,,Tollcross,55.94257,-3.20801,Entire home/apt,150,1,28,2018-10-15,0.36,1,267
55881,Lovely central apartment sleeps 6,264345,Susie,,Hillside and Calton Hill,55.96049,-3.17828,Entire home/apt,139,2,206,2018-12-16,2.16,1,247
58682,Beautiful Apartment in Edinburgh,281109,Rona,,Deans Village,55.95471,-3.21612,Entire home/apt,190,2,80,2019-01-27,1.21,4,140
67706,Lovely central flat in New Town,334476,F,,New Town East and Gayfield,55.9575,-3.19003,Entire home/apt,85,5,14,2018-06-24,0.43,1,104
74877,Stunning One Bedroom Loft Apartment With Balcony,394949,Derek,,North Leith and Newhaven,55.97738,-3.18064,Entire home/apt,64,2,50,2019-01-28,0.58,1,133
85620,Rustic Urban Retreat in City View Flat,334208,Carrie,,Leith (Albert Street),55.96164,-3.17627,Entire home/apt,79,2,363,2019-02-11,3.91,2,244
87097,Double Room in Comfortable Family Home,477325,Juliet,,Siverknowes and Davidson's Mains,55.96564,-3.27512,Private room,30,1,115,2018-10-29,1.24,1,342
